TIPOLOGIA_STRUTTURA;ASP;DENOMINAZIONE_STRUTTURA;INDIRIZZO_SEDE_OPERATIVA;CITTA';SOGGETTO_GESTORE;INDIRIZZO_SEDE_LEGALE;NUMERO_TELEFONO;PEC;PROVVEDIMENTO_DI_ACCREDITAMENTO
RETE LAC;CS;BIO-DATA  S.a.s di Palermo Eugenio & C.;Via Giulio Ario Tarrutenio, 59;S. Marco Argentano;BIO-DATA  S.a.s di Palermo Eugenio & C.;Via Giulio Ario Tarrutenio, 59 San Marco Argentano (CS);0984 511131;biodatalab@arubapec.it;D.P.G.R. N. 1/2011 Nota prot. n. 48587 del 16/2/2016
RETE LAC;CS;Laboratorio Analisi Cliniche Dr. Nicastro Giovanni Carlo & C. s.n.c.;Via S. Francesco di Paola, 2;S. Giovanni in Fiore;Laboratorio Analisi Cliniche Dr. Nicastro Giovanni Carlo & C. s.n.c.;Via S. Francesco di Paola, 2 S. Giovanni in Fiore (CS);0984 992328;nicastro.gio@arubapec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi  Cliniche Pio Center s.r.l. ;C.da Borrello, 22;Bovalino ;Laboratorio Analisi  Cliniche Pio Center s.r.l. ;C.da Borrello, 22 Bovalino (RC);0964 66330;piocenter@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Centro Analisi e Ricerche Cliniche Dr. Francesco Galasso & C. s.a.s.;Via Tevere, 125;Locri;Centro Analisi e Ricerche Cliniche Dr. Francesco Galasso & C. s.a.s.;Via Tevere, 125 Locri (RC);0964 22770;analisiclin.galasso@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Dr. Giorgio Barreca s.n.c.;Via Sbarre Inf., 69;Reggio Calabria ;Laboratorio Analisi Cliniche Dr. Giorgio Barreca s.n.c.;Via Sbarre Inf., 69 Reggio Calabria;0965 622876;laboratoriobarrecasnc@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio San Giuseppe di Demarte Giuseppe S.a.s.;Piazza Mercato, 9;Taurianova;Laboratorio San Giuseppe di Demarte Giuseppe S.a.s.;Piazza Caruso e Condello, 9 Taurianova (RC); 0966 612503;labsangiuseppe@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche FLEMING S.R.L.;Via Regina Margherita, 32;Rosarno;Laboratorio Analisi Cliniche FLEMING S.R.L.;Via Regina Margherita, 32 Rosarno (RC);0966 773200;laboratorioflemingrosarno@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Diagnostico S. FRANCESCO s.r.l.;Via degli Stadi, 2;Cosenza;Centro Diagnostico S. FRANCESCO s.r.l.;Via degli Stadi, 2 Cosenza;0984 412191;centrodiagnosticosfrancesco@pec.it;"D.P.G.R. N. 1/2011 

DCA N.18 DEL 4/2/2016"
RETE LAC;CS;Laboratorio Analisi Cliniche BIOCONTROL CHECK-UP Srl;Viale F. e G. Falcone ;Cosenza;Laboratorio Analisi Cliniche BIOCONTROL CHECK-UP Srl;Viale F. e G. Falcone Cosenza;0984 35705;biocontrolcheckupsas@legalmail.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche Dr. DE PIETRO Francesco s.r.l.;Via A. Moravia, 2;Cariati Marina;Laboratorio Analisi Cliniche Dr. DE PIETRO Francesco s.r.l.;Via A. Moravia, 2 Cariati Marina (CS);0983 91455;labdepietro@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche I.D.I.M. s.r.l.;Via Nazionale, 45;Corigliano-Rossano;Laboratorio Analisi Cliniche I.D.I.M. s.r.l.;Via Nazionale, 45 Corigliano-Rossano (CS);0983 511625;idimrossano@legalpec.net;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Diagnostico SALIMBENI-VERSACE s.r.l.;Via Nazionale,40/42;Corigliano-Rossano;Centro Diagnostico SALIMBENI-VERSACE s.r.l.;Via Nazionale, 42 Corigliano-Rossano (CS);0983 885036;centrodiagnostico.srl@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche e Microbiologiche Dr. Cosentino Agostino;Via Margherita, 176;Corigliano-Rossano;Laboratorio Analisi Cliniche Dr. Cosentino Agostino;Via Margherita, 176 Corigliano-Rossano (CS);0983 512451;agostino.cosentino@pec.enpab.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche BIO-LAB s.n.c.;Via delle Querce-Complesso Padula;Castrovillari;Laboratorio Analisi Cliniche BIO-LAB s.n.c.;Via delle Querce-Complesso Padula Castrovillari (CS);0981 26513;biolabcentroanalisi@arubapec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche BIODIAGNOSTICA;Via G. Amendola, 136;Cassano allo Jonio;Laboratorio Analisi Cliniche BIODIAGNOSTICA;Via G. Amendola, 136 Cassano allo Jonio (CS);0981 71521;carmelafloriana.milano@pec.enpab.it;DCA N. 170 del 30/11/2022
RETE LAC;CS;Laboratorio Analisi Cliniche Serio Lab di Carlo Ponticelli e C. s.a.s.;C.so L. Saraceni     Parco Pia, 9/a;Castrovillari;Serio Lab Sas;Via Parco Pia, 9 Castrovillari (CS);0981 209699/21571;seriolabsas@pec.it ;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche BIOMEDICAL s.n.c.;Via Degli Achei,11 ;Castrovillari;Laboratorio di Analisi Cliniche BIOMEDICAL Snc;Via Degli Achei,11 Castrovillari (CS);0981 489147;mariaconcetta.rummolo@pec.enpab.it;"D.P.G.R. N. 1/2011 
DCA N. 108 del 30/08/2022"
RETE LAC;CS;Laboratorio Analisi Cliniche s.n.c di SALIMBENI F.& C.;Via Machiavelli, 28;Corigliano-Rossano;Laboratorio Analisi Cliniche s.n.c di SALIMBENI F.& C.;Via Machiavelli, 28 Corigliano-Rossano (CS);0983 885827;labo.salimbeni@pec.it;D.P.G.R. N. 1/2011 Nota prot.n.369775 del 27/11/2017
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Diagnostico S. NILO s.r.l.;Via A. Volta                              Loc. Crosetto;Corigliano-Rossano;Laboratorio Analisi Cliniche Centro Diagnostico S. NILO s.r.l.;Via A. Volta Corigliano-Rossano;0983 512677;snilosrl@registerpec.it;D.D.G. N. 9750/2009 D.P.G.R. N. 1/2011 DCA n. 158/2017 DCA n. 177/2018
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Diagnostico SYBARIS S.r.l.;Corso Garibaldi, 3;Cassano allo Jonio;Centro Diagnostico SYBARIS S.r.l.;Corso Garibaldi, 3 Cassano allo Jonio (CS);0981 77089;centrodiagnosticosybaris@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche LABMONACO s.r.l.;Via del Cannone, 24;Paola;Labmonaco Srl;Via del Cannone, 24 Paola (CS);0982 582175;labmonaco@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche CE.ME.TAC. s.r.l.;Via M. Bianchi, 61;Scalea;CE.ME.TAC. s.r.l.;Via M. Bianchi, 61 Scalea (CS);0985 91290;cemetac@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche Associato Nitti;Via A. Arabia, 11/d;Cosenza;Laboratorio Analisi Cliniche Associato Nitti;Via A. Arabia, 11/d Cosenza;0984 27150;labnitti@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche Dr. Adolfo VERCILLO e C. s.n.c.;Via XXIV Maggio, 47/G;Cosenza;Dr. Adolfo VERCILLO e C. s.n.c.;Via XXIV Maggio, 47/G Cosenza;0984 24986;labvercillo@pec.it;D.P.G.R. N. 1/2011 Nota PROT. N.172602 DEL 24/05/2017
RETE LAC;CS;Studio Radiologico FEDERICO s.r.l. (ex Laboratorio Analisi Cliniche IPPOLITO s.n.c.);Viale G. Mancini, 355;Cosenza;Studio Radiologico FEDERICO s.r.l.;Viale G. Mancini, 355 Cosenza;0984 22984;radiologiafederico@pec.it;D.P.G.R. N. 1/2011 DCA n. 29 del 28/01/2020
RETE LAC;CS;Laboratorio Analisi Cliniche  PERUGINI S.R.L.;Via Rodotà, 43;Cosenza;Laboratorio Analisi Cliniche  PERUGINI S.R.L.;Via Rodotà, 43 Cosenza;0984 28165;peruginilab@pec.it;D.P.G.R. N. 1/2011 Nota prot. N.383908 DEL 22/12/2016
RETE LAC;CS;Laboratorio Analisi Cliniche DI DONNA s.n.c.;Corso Mazzini, 11;Cosenza;Laboratorio Analisi Cliniche DI DONNA s.n.c.;Corso Mazzini, 11 Cosenza;0984 24555;laboratoriodidonna@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche F. MICELI s.r.l.;Via Edison, 1;Rende;Laboratorio Analisi Cliniche F. MICELI s.r.l.;Via Edison, 1 Roma;0984 838723;laboratoriofrancescomiceli.srl@pec.it;D.P.G.R. N. 1/2011 nota prot.n. 188482/2018 nota prot. n. 338527/2019
RETE LAC;CS;Laboratorio Analisi Cliniche Antonio POLITANO & Maria Vittoria LOIZZO s.r.l.;Via Trieste 10/14 - ang. C.so Mazzini, 28;Cosenza;Laboratorio Analisi Cliniche Antonio POLITANO & Maria Vittoria LOIZZO s.r.l.;Via Trieste 10/14 - ang. C.so Mazzini, 28 Cosenza;0984 74057;laboratoriopolitanoloizzosrl@legalmail.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Diagnostico Ippocrate s.r.l.;Via Tavolaro, 32;Cosenza;Laboratorio Analisi Cliniche Centro Diagnostico Ippocrate s.r.l.;Via Tavolaro, 32 Cosenza;0984 21580;centro.ippocrate@arubapec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche di Antico Alfredo & C. s.a.s. ;Via Conciliazione, 75/C;Siderno ;Laboratorio Analisi Cliniche di Antico Alfredo & C. s.a.s. ;Via L. Misuraca, 16 Siderno (RC);0964 380517;anticolaboratori@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche                              Istituto Clinico Prof. Dott. R. DE BLASI S.r.l.;Via Torrione Prol., 55;Reggio Calabria;Istituto Clinico Prof. Dott. R. DE BLASI S.r.l.;Via Torrione Prol., 55 Reggio Calabria;0965 811855;istitutodeblasi@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche  F. Cavaliere & C. s.r.l.;Via D. Cavaliere, 16;Cittanova;Laboratorio Analisi Cliniche  F. Cavaliere & C. s.r.l.;Via D. Cavaliere, 16 Cittanova (RC);0966 382190;laboratorioanalisicavaliere@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Centro Diagnostico SALUS  s.r.l.;Via Trieste, 40;Polistena;Centro Diagnostico SALUS  s.r.l.;Via Trieste, 40 Polistena (RC);0966 932483;cdsalus@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Caruso s.n.c.;Via S. Maria, 10 ;Gioia Tauro ;Analisi Cliniche Caruso S.r.l.;Via S. Maria, 10 Gioia Tauro (RC);0966 51864;labcaruso@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Centro Diagnostico Gamma s.r.l. ;Via Piria, 25;Gioia Tauro;Centro Diagnostico Gamma s.r.l. ;Via Piria, 25 Gioia Tauro (RC);0966 55488;info@pec.centrodiagnosticogamma.it;DCA N. 101 del 30/08/2022
RETE LAC;RC;Laboratorio Analisi Cliniche L.A.C. S.r.l. di Fotia D. Marincola F.;Via N. Sauro, 74;Palmi;Laboratorio Analisi Cliniche L.A.C. S.r.l. di Fotia D. Marincola F.;Via N. Sauro, 74 Palmi (RC);0966 23860;lacpalmi@pec.it;D.P.G.R. N. 1/2011 Nota PROT. N. 251496 DEL 31/07/2017
RETE LAC;RC;Laboratorio Analisi Cliniche San Rocco s.r.l.;Piazzale Giovanni Bovi, 4;Palmi;Laboratorio Analisi Cliniche San Rocco s.r.l.;Piazzale G. Bovi, 4 Palmi (RC);0966 45896;labsanroccosrl@arubapec.it;"D.P.G.R. N. 1/2011 
Nota prot. n. 33673 del 28/01/2019"
RETE LAC;RC;Laboratorio Analisi Cliniche  Minerva s.r.l.;Via Corrado Alvaro, 1;Gioia Tauro;Laboratorio Analisi Cliniche  Minerva s.r.l.;Via Corrado Alvaro, 1 Gioia Tauro (RC);0966 57966;analisiminerva@pec.it;D.P.G.R. N. 1/2011
RETE LAC;VV;Laboratorio Analisi  Cliniche  Nusdeo s.r.l.;Via E. Gagliardi, 56;Vibo Valentia;Laboratorio Analisi  Cliniche  Nusdeo s.r.l.;Via E. Gagliardi, 56 Vibo Valentia;0963 45850;labnusdeo@pec.it;D.P.G.R. N. 1/2011 Nota Prot. N. 1360 17/11/2011
RETE LAC;VV;Laboratorio Analisi Cliniche Multimed LAB s.r.l.;Via Affaccio, 59;Vibo Valentia;Multimed LAB s.r.l.;Viale Affaccio, 59 Vibo Valentia;0963 591803;pecmultimed@pec.it                         forosrl@pec.it;D.P.G.R. N. 1/2011 Nota PROT. N.172663 DEL 24/05/2017
RETE LAC;VV;Laboratorio Analisi Cliniche  Multimed s.r.l.;Via F. Seminara, 9;Tropea ;Multimed s.r.l.;Viale Affaccio, 59 Vibo Valentia;0963 62665;pecmultimed@pec.it                         forosrl@pec.it;D.P.G.R. N. 1/2011 Nota Prot. n. 311281 del 21/10/2015
RETE LAC;CZ;Laboratorio Analisi Cliniche Poliambulatorio Lametino s.r.l.;Via XX  Settembre, 91;Lamezia Terme;Poliambulatorio Lametino s.r.l.;Via XX Settembre, 91 Lamezia Terme (CZ);0968 27565;amministrazione.poliambulatoriolametino@pec.it;DCA N. 64 del 21/02/2023
RETE LAC;RC;Laboratorio Analisi  Cliniche Centro Diagnostico Dr. Ventra Giuseppe s.r.l.;Via Mare, 41;Caulonia ;Laboratorio Analisi  Cliniche Centro Diagnostico Dr. Ventra Giuseppe s.r.l.;Viale Mare Jonio, 6 Caulonia Marina (RC);0964.82682 ;centrodiagnosticoventra@pec.studiosaraco.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Dr. Quintino & Rocco Tassone;Via Marconi, 97 ;Locri;Laboratorio Analisi Cliniche Dr. Quintino & Rocco Tassone;Via Marconi, 97 Locri (RC);0964 20843;labtassone@pec.it;D.P.G.R. N. 1/2011 DCA n. 22 del 08-02-17
RETE LAC;CZ;Ippocrate S.r.l.;Via Crispi, 149;Catanzaro;Ippocrate S.r.l.;Via N. Pizi, 1 Catanzaro;0961 720742;ippocratelab@pec.it;DCA N.10 DEL 27/1/2016 DCA n. 71 del 19/04/2019 Nota prot. n. 441411 del 23/12/2019
RETE LAC;CZ;Life Clinic Srl;Via Nazionale, 254;Botricello;Life Clinic Srl;"Via Nazionale, 254
Botricello";0961 963898;ceolifeclinicgroup@pec.it;"D.P.G.R. N. 1/2011 DCA N.10 DEL 27/1/2016 
Nota prot. n.40679 del 10.2.2016 Nota prot. n. 441411 del 23/12/2019"
RETE LAC;CZ;Biomedica S.a.s.;Corso Stagliano, 373;Chiaravalle Centrale;Laboratorio Biomedica di Elena Vono & C. S.a.s;"Corso Stagliano, 373
Chiaravalle Centrale";0967 631075;laboratoriobiomedica@pec.it;D.P.G.R. N. 1/2011 DCA N.10 DEL 27/1/2016 Nota prot. N.116628 DEL 05/04/2017 Nota prot. n. 441411 del 23/12/2019
RETE LAC;CZ;LAB MEDICAL S.R.L.                                                         (ex Lab. Scalzi & C. S.a.s.);Via Crispi, 147/149;Catanzaro;LAB MEDICAL S.R.L.    ;Via Crispi, 147/149 Catanzaro;0961 720742;labmedical@pec.it;"D.P.G.R. N. 1/2011 Nota PROT. N. 251491 DEL 31/07/2017 DCA n. 141 del 25/10/17
DDG N. 6367 del 15/06/2022"
RETE LAC;CZ;CA.GI Villa Serena SPA;Via Pascali,11;Catanzaro;CA.GI Villa Serena SPA;"Via Pascali,11
Catanzaro";0961 724782;villaserena@legalmail.it;DGR 2792/1994
RETE LAC;CZ;Laboratorio Analisi Cliniche Dr. Antonio Matozzo & C. s.a.s.;Via C. Battisti, 38;Soverato;Laboratorio Analisi Cliniche Dr. Antonio Matozzo & C. s.a.s.;Via C. Battisti, 38 Soverato (CZ);0967 521270;laboratoriomatozzo@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Laboratorio Analisi Cliniche BIOS s.r.l.;Viale Mancini Pal. GPS corpo D;Cosenza;Laboratorio Analisi Cliniche BIOS s.r.l.;Viale Mancini, 343 Cosenza;0984 483357;biossrl@gigapec.it;D.P.G.R. N. 1/2011 DCA n. 180/2018
