CODICE_ATS,ATS,CODICE_ASST,ASST,AMBITO,COD_EG,DENOMINAZIONE_EG,CODICE_FISCALE_EG,PARTITA_IVA_EG,UNITA_OFFERTE_SOCIALI,CODICE_CUDES,DENOMINAZIONE_STRUTTURA,NR_POSTI,PROV,CAP,COMUNE_DI_UBICAZIONE,FRAZIONE,INDIRIZZO_STRUTTURA,TELEFONO_STRUTTURA,FAX_STRUTTURA,EMAIL_STRUTTURA,SITO_WEB_MAIL,WGS84_Y,WGS84_X,location
030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,MORBEGNO,690558,CASA DI RIPOSO DI TALAMONA ONLUS,00416660140,00416660140,ALLOGGIO PROTETTO ANZIANI,090617,ALL'OMBRA DEL GELSO,7,SO,23018,TALAMONA,,"VIA GAVAZZENI,64/B",,,,,46.1365875,9.6117418,POINT (9.6117418 46.1365875)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,PAVIA,170592,OVER TICINUM SRL,11632820962,11632820962,ALLOGGIO PROTETTO ANZIANI,055505,AZALEA,5,PV,27100,PAVIA,,"VIALE LODI,47",0382/468915,,INFO@OVERTICINUM.IT,,45.18836,9.18742,POINT (9.18742 45.18836)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,CASTELLANZA,170992,COOPERATIVA SOCIALE IL NIDO DELLE RONDINI ONLUS,03802150130,03802150130,CENTRO DIURNI ANZIANI,083909,IL NIDO DELLE RONDINI,30,VA,21054,FAGNANO OLONA,,"VIA GIOVANNI DON MINZONI, 11",338/5374814,,ILNIDODELLERONDINI@PEC.IT,WWW.NIDODELLERONDINIONLUS.IT,45.6756012,8.8590931,POINT (8.8590931 45.6756012)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,ASOLA,690763,COMUNE DI CASTEL GOFFREDO,81001030204,00521810200,ALLOGGIO PROTETTO ANZIANI,050962,MINI ALLOGGI PROTETTI PER ANZIANI IL GELSO,19,MN,46042,CASTEL GOFFREDO,,"VIA MONTE BALDO,X",,,,,45.293324,10.4700507,POINT (10.4700507 45.293324)
030326,ATS DI BRESCIA,030723,ASST DEL GARDA,GARDA - SALO' - 11,119669,FONDAZIONE CASA SOGGIORNO PER ANZIANI ONLUS,84001418178,0804850980,ALLOGGIO PROTETTO ANZIANI,052809,APPARTAMENTI PROTETTI C/O RSA BEDIZZOLE,14,BS,25081,BEDIZZOLE,,"VIA SONVIGO,22",030/674377,,CSABEDIZZOLE@LEGALMAIL.IT,,45.5094289,10.4316265,POINT (10.4316265 45.5094289)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,CITTIGLIO,122000,ASSOCIAZIONE CENTRO TERZA ETA' GAVIRATESE,92004440126,92004440126,CENTRO DIURNI ANZIANI,056821,CENTRO TERZA ETA GAVIRATESE,50,VA,21026,GAVIRATE,,"PIAZZA DELLA REPUBBLICA,1",0332 747444,,TERZAETAGAVIRATE@GMAIL.COM,,45.844027,8.716576,POINT (8.716576 45.844027)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,ALTO MILANESE,690603,LA MERIDIANA SOCIETA' COOPERATIVA SOCIALE,08400690155,02322460961,ALLOGGIO PROTETTO ANZIANI,054965,CENTRO GINETTA COLOMBO,46,MI,20023,CERRO MAGGIORE,,"PIAZZA DELLA CONCORDIA,1",0331528700,,CERRO@COOPLAMERIDIANA.IT,HTTPS://COOPLAMERIDIANA.IT,45.5902146,8.949612,POINT (8.949612 45.5902146)
030326,ATS DI BRESCIA,030722,ASST DELLA FRANCIACORTA,OGLIO OVEST - 7,135991,ASSOCIAZIONE AMICI CASA DI RIPOSO,01999970989,01999970989,CENTRO DIURNI ANZIANI,051646,CENTRO DIURNO ANZIANI,100,BS,25038,ROVATO,,"VIA SAN MARTINO DELLA BATTAGLIA,21",030/7722095,,,,45.56262,10.00118,POINT (10.00118 45.56262)
030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,LOMAZZO - FINO MORNASCO,120850,REMBRANDT COOPERATIVA SOCIALE,01957760133,01957760133,ALLOGGIO PROTETTO ANZIANI,098272,PARROCCHIA DI ROVELLASCA,8,CO,22069,ROVELLASCA,,"VIA GIOVANNI BATTISTA GRASSI, 1",348/3982866,,ASSISTENZA@GRUPPOFINISTERRE.ORG,,45.667478714915,9.054497596367,POINT (9.054497596367 45.667478714915)
030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,CARATE BRIANZA,121499,COMUNE DI BESANA IN BRIANZA,01556360152,00717350961,CENTRO DIURNI ANZIANI,052002,CENTRO DIURNO ANZIANI,30,MB,20842,BESANA IN BRIANZA,,"VIA LUIGI VIARANA,6",0362 922027,,SERVIZISOCIALI@COMUNE.BESANAINBRIANZA.MB.IT,,45.700354,9.2873227,POINT (9.2873227 45.700354)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,BUSTO ARSIZIO,732610,ALISEI SOCIETA' COOPERATIVA SOCIALE,03027420128,03027420128,ALLOGGIO PROTETTO ANZIANI,099742,CASA DI CORTE NUOVA,50,VA,21052,BUSTO ARSIZIO,,"VIALE DELLA REPUBBLICA, 44",3471231716,,INFO@COOPERATIVAALISEI.IT,,45.626290000801,8.832204327375,POINT (8.832204327375 45.626290000801)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,MILANO CITTA',690790,COOPERATIVA SOCIALE COOPSELIOS SOCIETA' COOPERATIVA ONLUS,01164310359,01164310359,ALLOGGIO PROTETTO ANZIANI,050998,APA VIA QUARENGHI 22,28,MI,20151,MILANO,,"VIA GIACOMO QUARENGHI,24",02 30083090,,INFOMI@COOPSELIOS.COM,WWW.COOPSELIOS.COM,45.4962076,9.1162708,POINT (9.1162708 45.4962076)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,MANTOVA,100880,CORESS SOCIETA' COOPERATIVA SOCIALE,01068200359,01068200359,ALLOGGIO PROTETTO ANZIANI,097795,CASA PACE,4,MN,46100,MANTOVA,,"VIA CARLO MONTANARI, 20",0376328957,,CASAPACE@CORESSAI.ORG,,45.1619595965,10.7969954381,POINT (10.7969954381 45.1619595965)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,BRONI E CASTEGGIO,690840,FONDAZIONE CONTE FRANCO CELLA DI RIVARA ONLUS,84003740184,01331740181,ALLOGGIO PROTETTO ANZIANI,055555,ALLOGGIO PROTETTO ANZIANI,15,PV,27043,BRONI,,"VIALE GIACOMO MATTEOTTI,2 A",0385257111,,INFO@FONDAZIONECELLA.IT,,45.06474487,9.26247114,POINT (9.26247114 45.06474487)
030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,BRESCIA - 1,122349,VITTORIA S.R.L.,03534260983,03534260983,ALLOGGIO PROTETTO ANZIANI,053291,CASA RELAIS,28,BS,25122,BRESCIA,,"VIA ELIA CAPRIOLO,53",0302035400,,CUSTOMERSERVICE@KORIAN.IT,HTTPS://WWW.KORIAN.IT/SERVIZI,45.54294,10.21204,POINT (10.21204 45.54294)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,PAVIA,690769,COOPERATIVA SOCIALE ARCOBALENO SOCIETA' PER AZIONI,01967560184,01967560184,ALLOGGIO PROTETTO ANZIANI,057039,ARCOBALENO,117,PV,27051,CAVA MANARA,,"VIA FERRUCCIO BELLI,8",0382557311,,INFO@ARCOBALENOASSISTENZA.IT,WWW.ARCOBALENOASSISTENZA.IT,45.14188,9.1027,POINT (9.1027 45.14188)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,AZZATE,690776,FONDAZIONE SACRA FAMIGLIA ETS,03034530158,00795470152,ALLOGGIO PROTETTO ANZIANI,054585,FONDAZIONE ALETTI-BECCALLI-MOSCA ONLUS,32,VA,21040,CASTRONNO,,"VIA STAZIONE,2",0332892781,,LAMAGNOLIA@SACRAFAMIGLIA.ORG,WWW.RESIDENZALAMAGNOLIA.IT,45.7452309,8.8107321,POINT (8.8107321 45.7452309)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,AZZATE,120850,REMBRANDT COOPERATIVA SOCIALE,01957760133,01957760133,ALLOGGIO PROTETTO ANZIANI,100196,VILLA MAGNOLIA,32,VA,21040,CASTRONNO,,"VIA STAZIONE, 2",,,SEGRETERIA@GRUPPOFINISTERRE.ORG,,45.745230883241,8.810732070734,POINT (8.810732070734 45.745230883241)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,MANTOVA,690747,UNITA' GERIATRICA RIABILITATIVA ETS,01541030209,01541030209,ALLOGGIO PROTETTO ANZIANI,052170,U.G.R. ONLUS ALLOGGI PROTETTI PER ANZIANI,15,MN,46010,CURTATONE,,"VIA DANTE ALIGHIERI,41",0376-267511,,UGR@UGRONLUS.IT,WWW.UGRONLUS.ORG,45.1367107,10.74054,POINT (10.74054 45.1367107)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,RHO,121101,COMUNE DI CORNAREDO,02981700152,02981700152,ALLOGGIO PROTETTO ANZIANI,048610,IL MELOGRANO,9,MI,20007,CORNAREDO,,"VIA BRERA,31",0293263300,,DFARANDA@COMUNE.CORNAREDO.MI.IT,,45.49885,9.02882,POINT (9.02882 45.49885)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,SARONNO,120850,REMBRANDT COOPERATIVA SOCIALE,01957760133,01957760133,ALLOGGIO PROTETTO ANZIANI,071408,RESIDENZE L'ULIVO,12,VA,21047,SARONNO,,"VIA LUIGI CARONNI,31/A",02 9603758,,ASSISTENZA@GRUPPOFINISTERRE.ORG,,45.62485,9.03472,POINT (9.03472 45.62485)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,GUIDIZZOLO,690467,FONDAZIONE FRANCO NICOLAI ETS,81003970209,01564480208,ALLOGGIO PROTETTO ANZIANI,050965,ALLOGGI PROTETTI PER ANZIANI,4,MN,46049,VOLTA MANTOVANA,,"VIA SAN MARTINO,74",,,,,45.32409,10.65901,POINT (10.65901 45.32409)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,GARBAGNATE MILANESE,691838,COMUNE DI GARBAGNATE MILANESE,00792720153,00792720153,CENTRO DIURNI ANZIANI,050049,C.D.A CENTRO VARI.ETA',100,MI,20024,GARBAGNATE MILANESE,,"VIA BOLZANO,22",0278618600,,CADELDI@COMUNE.GARBAGNATE-MILANESE.MI.IT,,45.57802,9.07026,POINT (9.07026 45.57802)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,RHO,192912,OVER CARE SRL,10831500961,10831500961,ALLOGGIO PROTETTO ANZIANI,095269,VILLA VILMA,54,MI,20007,CORNAREDO,,"VIA GIACOMO MATTEOTTI,16",0298670181,,OVERCORNAREDO@OVERHOLDING.COM,,45.49456,9.02188,POINT (9.02188 45.49456)
030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,VIMERCATE,691775,L'ARCOBALENO SOCIETA' COOPERATIVA SOCIALE - ONLUS,01461770131,01461770131,ALLOGGIO PROTETTO ANZIANI,056908,CENTRO POLIFUNZIONALE MARIA BAMBINA,17,MB,20882,BELLUSCO,,"VIA ROMA,7",039623636,,INFO@LARCOBALENO.COOP,WWW.LARCOBALENO.COOP,45.6185129,9.4197378,POINT (9.4197378 45.6185129)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,MANTOVA,691118,I GIRASOLI S.P.A.,01799680358,01799680358,ALLOGGIO PROTETTO ANZIANI,054793,I GIRASOLI,33,MN,46034,BORGO VIRGILIO,,"VIA M.K.GANDHI,1",0376/281702,,GIRASOLI@LAPINETASC.IT,WWW.GIRASOLIRSA.IT,45.11582,10.7813,POINT (10.7813 45.11582)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,ALTO E BASSO PAVESE,690769,COOPERATIVA SOCIALE ARCOBALENO SOCIETA' PER AZIONI,01967560184,01967560184,ALLOGGIO PROTETTO ANZIANI,055914,ALLOGGI PROTETTI ARCOBALENO,24,PV,27010,LINAROLO,,"VIA NOBILI,115",0382/557311,,INFO@ARCOBALENOASSISTENZA.IT,,45.15743399,9.22902604,POINT (9.22902604 45.15743399)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,BRONI E CASTEGGIO,121728,PARROCCHIA SANTA MARIA ASSUNTA,86002330180,01883340182,CENTRO DIURNI ANZIANI,055511,CENTRO DIURNO ANZIANI,20,PV,27053,LUNGAVILLA,,"PIAZZA SACRO CUORE,1",0383/76651,,SEGRETERIA@PARROCCHIADILUNGAVILLA.IT,,45.04335,9.08143,POINT (9.08143 45.04335)
030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,CREMONA,692255,L'OASI - SOCIETA' COOPERATIVA SOCIALE ETS,02007000983,02007000983,ALLOGGIO PROTETTO ANZIANI,049108,MINI ALLOGGI PROTETTI,22,CR,26023,GRUMELLO CREMONESE ED UNITI,,"VIA MARTIRI DELLA LIBERTA', 3",0372720083,,MAP@OASI-ONLUS.IT,WWW.OASISRL.UE,45.1936126798,9.866895488,POINT (9.866895488 45.1936126798)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,MERATE,120850,REMBRANDT COOPERATIVA SOCIALE,01957760133,01957760133,ALLOGGIO PROTETTO ANZIANI,073168,OASI SAN GIUSEPPE,18,LC,23891,BARZANO',,"VIA CRISTOFORO COLOMBO,2",,,,,45.7192117,9.3089571,POINT (9.3089571 45.7192117)
030326,ATS DI BRESCIA,030722,ASST DELLA FRANCIACORTA,MONTE ORFANO - 6,119793,ASSOCIAZIONE PENSIONATI ED ANZIANI ADRO E TORBIATO,91001030173,91001030173,CENTRO DIURNI ANZIANI,050404,CENTRO DIURNO ANZIANI,100,BS,25030,ADRO,,"VIA CAIROLI,29",030/7356243,,,,45.6227027,9.9642169,POINT (9.9642169 45.6227027)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,ALTO E BASSO PAVESE,117205,COMUNE DI SIZIANO,00478370182,00478370182,CENTRO DIURNI ANZIANI,053063,CENTRO DIURNO PER ANZIANI L'ACERO,34,PV,27010,SIZIANO,,"VIA DELLA STAZIONE,1",0382610212,,ACERO@COMUNEDISIZIANO.191.IT,,45.31867,9.20034,POINT (9.20034 45.31867)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,LOMELLINA,690590,FONDAZIONE PENSIONATO SANNAZZARESE ETS,82000650182,01007990185,ALLOGGIO PROTETTO ANZIANI,048351,ALLOGGI PROTETTI VIA INCISA,7,PV,27039,SANNAZZARO DE' BURGONDI,,"VIA INCISA,7",,,,,45.1012491,8.909686,POINT (8.909686 45.1012491)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,SOMMA LOMBARDO,121982,ASSOCIAZIONE ANZIANI DEL COMUNE DI LONATE POZZOLO,91006880123,91006880123,CENTRO DIURNI ANZIANI,053170,CENTRO DIURNO ANZIANI,80,VA,21015,LONATE POZZOLO,,VIA DANTE ALIGHIERI,0331/661014,,,,45.60148,8.75104999,POINT (8.75104999 45.60148)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,ALTO MILANESE,121091,SERENITAS - SOCIETA' COOPERATIVA SOCIALE - ONLUS,12104540153,12104540153,ALLOGGIO PROTETTO ANZIANI,055806,ALLOGGI PROTETTI PER ANZIANI PROGETTTO DIAMANTE,12,MI,20020,ARCONATE,,"VIA SILVIO PELLICO,19",0331539161,,,,45.53954,8.84537,POINT (8.84537 45.53954)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,ABBIATEGRASSO,690605,FONDAZIONE SAN RICCARDO PAMPURI - ONLUS,90014970157,13117740152,ALLOGGIO PROTETTO ANZIANI,092764,MINI ALLOGGI PROTETTI,8,MI,20081,MORIMONDO,,"VIA GIACOMO MATTEOTTI,11",02945405,,FONDAZIONEONLUS@VIRGILIO.IT,WWW.RSAPAMPURIMORIMONDO.EU,45.3542523,8.9564387,POINT (8.9564387 45.3542523)
030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,VALLECAMONICA,124052,ASSOCIAZIONE ANZIANI E PENSIONATI,90004170172,03320360989,CENTRO DIURNI ANZIANI,049452,CENTRO DIURNO ANZIANI,25,BS,25040,ANGOLO TERME,,"VIA REGINA ELENA,52",347/5904049,,ASSOCENTRO_2014@LIBERO.IT,,45.8918479,10.1455843,POINT (10.1455843 45.8918479)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,ARCISATE,105007,MARINER UNO S.R.L.,05433160966,05433160966,ALLOGGIO PROTETTO ANZIANI,093680,RESIDENZA CASA MORA,28,VA,21050,PORTO CERESIO,,"VIA CASA MORA,19/21",0332919409,,RESIDENZACASAMORA@LERESIDENZE.IT,WWW.LERESIDENZE.IT,45.9186904,8.898644,POINT (8.898644 45.9186904)
030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,VALLECAMONICA,690577,FONDAZIONE SANTA MARIA DELLA NEVE ETS,80046980175,01375920178,ALLOGGIO PROTETTO ANZIANI,050806,FONDAZIONE O.N.L.U.S. SANTA MARIA DELLA NEVE,4,BS,25055,PISOGNE,,"VIA GIROLAMO ROMANINO,18",036486011,,RSASANTAMARIADELLANEVE@PEC.IT,HTTP://WWW.RSAPISOGNE.NET/,45.80684,10.11118,POINT (10.11118 45.80684)
030326,ATS DI BRESCIA,030723,ASST DEL GARDA,BASSA BRESCIANA ORIENTALE - 10,119689,COMUNE DI CALCINATO,00524950177,00569440985,CENTRO DIURNI ANZIANI,055285,CENTRO DIURNO ANZIANI DI CALCINATO,60,BS,25011,CALCINATO,,VIA V.EMANUELE II/VIA ROMA 1,030/9969103,,,,45.45334,10.40966,POINT (10.40966 45.45334)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,MELZO,692030,COMUNE DI MELZO,00795710151,00795710151,CENTRO DIURNI ANZIANI,048758,CENTRO DIURNO DIURNO PROTETTO PERSONE FRAGILI,40,MI,20066,MELZO,,"PIAZZA ENRICO BERLINGUER,1",0295739053,,SPAZIOCITTA@COMUNE.MELZO.MI.IT,,45.49992,9.42708,POINT (9.42708 45.49992)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,BELLANO,104934,GIARDINO 2 SRL,07062580969,07062580969,ALLOGGIO PROTETTO ANZIANI,047561,VILLA SANTA MARIA,24,LC,23822,BELLANO,,"VIA COLICO,18",0341 810361,,RESIDENZAVILLASANTAMARIA@LERESIDENZE.IT,WWW.LERESIDENZE.IT,46.05096723,9.310433,POINT (9.310433 46.05096723)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,BRONI E CASTEGGIO,176574,ABBRACCIO COOPERATIVA SOCIALE ONLUS,02408600183,02408600183,ALLOGGIO PROTETTO ANZIANI,094267,RESIDENZA ANZIANI MONTESCANO ALLOGGI PROTETTI,14,PV,27040,MONTESCANO,,"VIA MONTESCANO,61",3455938226/038509081,,INFO@RESIDENZASANTALBERTO.IT,,45.03236,9.28259,POINT (9.28259 45.03236)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,CITTIGLIO,690440,CENTRO RESIDENZIALE PER ANZIANI MENOTTI BASSANI,01319900120,01319900120,ALLOGGIO PROTETTO ANZIANI,052097,VILLA ELISA,12,VA,21014,LAVENO-MOMBELLO,,"VIALE BRIANZA,3",0332668339-668711,,INFO@MENOTTIBASSANI.IT,,45.9045123,8.6176656,POINT (8.6176656 45.9045123)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,VOGHERA E COMUNITA' MONTANA OLTREPO' PAVESE,691105,FONDAZIONE VARNI AGNETTI E.T.S.,01664350186,01664350186,ALLOGGIO PROTETTO ANZIANI,061789,GIOVANNI AZZARETTI,26,PV,27052,GODIASCO SALICE TERME,,"VIA PALMIRO TOGLIATTI,43",0383/940650,,INFO@VARNIAGNETTI.IT,,44.8952955,9.0596045,POINT (9.0596045 44.8952955)
030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,SEREGNO,121507,COMUNE DI SEVESO,01650780156,00720300961,CENTRO DIURNI ANZIANI,049563,CENTRO DIURNO ANZIANI LA TORRE,80,MB,20822,SEVESO,,"VIALE REDIPUGLIA,54",0362 502138,,SERVIZISOCIALI@COMUNE.SEVESO.MB.IT,,45.64199,9.1529,POINT (9.1529 45.64199)
030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,OLGIATE COMASCO,149792,ASSOCIAZIONE SERENDIPITY,94639140154,94639140154,CENTRO DIURNI ANZIANI,054702,CENTRO DIURNO IL SOLLIEVO,25,CO,22075,LURATE CACCIVIO,,"VIA LUIGI CAGNOLA,1",3283211340,,FEDERICARISPETTOSO@ICLOUD.COM,,45.7620365,8.9976689,POINT (8.9976689 45.7620365)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,ALTO E BASSO PAVESE,732588,ALE.MAR. COOPERATIVA SOCIALE ONLUS,01956990186,01956990186,CENTRO DIURNI ANZIANI,100230,CENTRO DIURNO ANZIANO,10,PV,27019,VILLANTERIO,,VIA ALCIDE DE GASPERI 17,03821571108,,INFO@RESIDENZACARLOTTAPOLLINI.IT,,45.21648,9.36182,POINT (9.36182 45.21648)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,LECCO,691775,L'ARCOBALENO SOCIETA' COOPERATIVA SOCIALE - ONLUS,01461770131,01461770131,ALLOGGIO PROTETTO ANZIANI,052490,LASER,7,LC,23900,LECCO,,"VIA FILANDA,12",0341 491813,,INFO@LARCOBALENO.COOP,WWW.LARCOBALENO.COOP,45.85216,9.41613,POINT (9.41613 45.85216)
030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,VALLE BREMBANA,691428,PARROCCHIA SAN LORENZO MARTIRE IN ZOGNO,85000070160,00778670166,ALLOGGIO PROTETTO ANZIANI,063368,RSA CASA SANTA MARIA,1,BG,24012,VAL BREMBILLA,,"VIA CA' NOA,8",0345/53436,,INFO@RSAZOGNO.IT,,45.808358,9.597315,POINT (9.597315 45.808358)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,MANTOVA,690629,ASPEF AZIENDA SERVIZI ALLA PERSONA E ALLA FAMIGLIA,01837820206,01837820206,ALLOGGIO PROTETTO ANZIANI,052227,ALLOGGIO PROTETTO PER ANZIANI ASPEF,3,MN,46100,MANTOVA,,"PIAZZALE MICHELANGELO,1",0376-357811,,ASPEF@ASPEFMANTOVA.IT,WWW.ASPEFMANTOVA.IT,45.15329,10.7757,POINT (10.7757 45.15329)
