"Anno";"Codice Regione";"Codice Azienda";"Codice struttura";"Denominazione struttura";"Partita IVA";"Indirizzo";"Codice Comune";"CAP";"E-mail";"Sito web";"Prefisso";"Telefono";"Prefisso fax";"Numero fax";"Tipo struttura";"Tipo struttura di ricovero";"Codice struttura di ricovero";"Denominazione struttura di ricovero";"Mesi di funzionamento";"Tipo rapporto con il S.S.N.";"Titolare della convenzione";"Presenza Apparecchiature";"Anno apertura";"Mese apertura";"Anno chiusura";"Mese chiusura";"Descrizione tipo assistenza erogata"
"2020";"100";"201";"040104";"R.S.A. ASSISI";"03301860544";"via Valentin Muller";"054001";"06081";"rsa.assisi@uslumbria1.it";"";"075";"8139010";"075";"8139012";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2014";"06";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"049929";"CASA DI RISPOSO 'A.ROSSI'";"00463210542";"VIA METASTASIO, 5";"054001";"06081";"amministrazione@casadiriposoandrearossi.it";"";"075";"812353";"075";"812353";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"060603";"RESIDENZA PROTETTA Olindo Brancaleoni PANICALE";"03301860544";"VIA BELVEDERE, 2";"054037";"06064";"mariachiara.lucifora@uslumbria1.it";"www.uslumbria1.it";"075";"9526601";"075";"9526601";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"060604";"R.P. San Sebastiano";"03301860544";"Largo Quartilio Fratini, 5";"054037";"06064";"mariachiara.lucifora@uslumbria1.it";"www.uslumbria1.it";"075";"837389";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2014";"04";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"060605";"R.S.A. CITTA' DELLA PIEVE";"03301860544";"BEATO G. VILLA, 1";"054012";"06062";"mariachiara.lucifora@uslumbria1.it";"www.uslumbria1.it";"0578";"290958";"075";"290924";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2005";"07";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"069930";"OPERA PIA CREUSA BRIZI BITTONI";"00481650547";"VIA CAPUCCINI, 42";"054012";"06062";"amm@rpbittoni.it";"";"0578";"298051";"075";"298340";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"069940";"R.P. CASA SERENA";"01958270546";"VIA XX SETTEMBRE, 52";"054026";"06063";"info@casaserenamagione.it";"";"075";"8472122";"075";"8478581";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2008";"11";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"070004";"R.S.A. Pantalla";"03301860544";"Strada del Buda, fraz. Pantalla";"054052";"06059";"rsapantalla@uslumbria1.it";"www.uslumbria1.gov.it";"075";"8880853";"075";"96676407";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2013";"05";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"070404";"R.S.A. MARSCIANO";"03301860544";"VIA PICCOLOTTI, 1";"054027";"06055";"";"www.uslumbria1.gov.it";"075";"8782614";"075";"8782588";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2000";"07";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"079925";"ISTITUTO VERALLI CORTESI";"00168160569";"V.LE TIBERINA, 11";"054052";"06059";"veralli.cortesi@gmail.it";"www.verallicortesi.it";"075";"8942362";"075";"8942256";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"079926";"Casa Accoglieza MARIA IMMACOLATA";"02530230545";"VIA TORINO, 1";"054027";"06055";"segreteria@fontenuovo.191.it";"www.fontenuovo.it";"075";"8741575";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"1999";"09";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"079927";"CASA VINCENZIANA 'G. ANDREOLI'";"00617830559";"VIA MARCONI, 10";"055030";"05010";"casavincenziana@effatah.it";"www.effatah.it";"075";"875131";"075";"875131";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2000";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"079928";"COOP.SOC.'IL MONASTERO' ARL";"02594000545";"CORSO V. EMANUELE, 6";"054014";"06050";"coopilmonastero@libero.it";"www.ilmonastero-residenzaprotetta.it";"075";"8701411";"075";"8701335";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2003";"10";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"A20601";"AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA 'CASA DI RIPOSO MOSCA'";"02849880543";"VIA CAVOUR 11/A";"054024";"06024";"moscast@inwind.it";"www.casadiriposomosca.com";"075";"9273705";"075";"9273705";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"1997";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"A20603";"ENTE DI ASSISTENZA E SERVIZI ALLA PERSONA E.A.S.P.";"02662270541";"Via V LUGLIO, 40";"054023";"06023";"easp.gt@virgilio.it";"www.easp.it";"075";"9143428";"075";"910334";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2008";"01";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"A20905";"RESIDENZA SANITARIA ASSISTITA (R.S.A.) BRANCA";"03301860544";"Presidio Ospedaliero Gubbio e Gualdo Tadino Loc. Branca";"054024";"06024";"";"www.uslumbria1.gov.it";"075";"9270414";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2014";"09";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"201";"A22201";"CENTRO RESIDENZIALE ANZIANI 'CASA BENEDETTA'";"00432610541";"Via F. Petrelli, 20";"054049";"06028";"info@serafico.it";"www.serafico.org";"075";"9178010";"075";"9177941";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2013";"06";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"051103";"Residenza Protetta VILLA FANTOZZI Spello";"01499590550";"Via Poeta";"054050";"06038";"";"www.uslumbria2.it";"0742";"652674";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"1999";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"052001";"Casa Serena Ex ONPI";"01499590550";"Via Berlino Loc. Formoni";"054018";"06034";"";"www.uslumbria2.it";"0742";"391250";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"1996";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"053201";"Casa Serena di Capodacqua Confraternita della Misericordia di Foligno";"01866640541";"Via Fiorenzuola, 21";"054018";"06034";"casaserena.capodacqua@virgilio.it";"www.casaripososerena.com";"0742";"314268";"0742";"314268";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2002";"07";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"053301";"Residenza Protetta Opera Pia Bartolomei Castori";"00168460541";"Via Sportella Marini, 44";"054018";"06034";"amministrazione@bartolomeicastori.it";"www.bartolomeicastori.it";"0742";"340480";"0742";"340480";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2004";"06";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"053701";"Residenza Protetta 'Carlo Amici'";"02077510549";"Via G. Amendola, 1";"054054";"06039";"residenzacarloamici@dinamicafoligno.it";"www.dinamicafoligno.it";"0742";"78791";"0742";"677073";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2007";"08";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"054501";"Residenza Protetta Bevagna";"01499590550";"Largo della Solidarietà, 1 (S1-T-1°) ex Via Alberti, 5";"054004";"06025";"";"www.uslumbria2.it";"0742";"3391";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2011";"09";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"054703";"RSA KOS CARE SRL";"01148190547";"Via dell'Ospedale, 6";"054018";"06034";"info.foligno@sstefano.it";"www.sstefano.it";"0742";"453200";"0742";"351842";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"S";"2014";"11";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"055100";"Residenza Protetta Nocera Umbra";"02077510549";"Via Septempedana, snc";"054034";"06025";"";"";"331";"7461941";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2019";"10";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"080105";"Residenza Sanitaria Assistita San Paolo";"01499590550";"Via Loreto, 1";"054051";"06049";"";"www.uslumbria2.it";"0743";"210483";"";"";"STRUTTURA RESIDENZIALE";"01";"100805";"POLO OSPEDALIERO SPOLETO";"12";"1";"";"N";"2013";"11";"2020";"10";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"081601";"Residenza Protetta SAN PAOLO";"01499590550";"FRAZ. TERRAIA";"054051";"06049";"";"www.uslumbria2.it";"0743";"210255";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"1999";"07";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"082101";"Pensionato Casa Marini";"02261610543";"Via Vittori, 7";"054051";"06049";"amministrazione@usignolo.it";"www.usignolo.it";"0743";"49600";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2018";"11";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"082201";"Pensionato Nazzareno";"00277810545";"Via Interna delle Mura, 23";"054051";"06049";"";"www.ssfspoleto.org";"0743";"221125";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"1981";"11";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"082601";"Residenza Protetta 'Il Cerchio'";"01517980544";"Via Pietro Falchi, 15/17";"054051";"06049";"cooperativa@ilcerchio.net";"www.ilcerchio.net";"0743";"43406";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2004";"08";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"092201";"Residenza Sanitaria Assistenziale - RSA Cascia";"01499590550";"Località S. Agostino, 2";"054007";"06043";"fausto.emili@uslumbria2.it";"www.uslumbria2.it";"0743";"75061";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2019";"09";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"092202";"Residenza Protetta - RP Cascia";"01499590550";"Località S. Agostino, 2";"054007";"06043";"fausto.emili@uslumbria2.it";"www.uslumbria2.it";"0743";"75061";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2019";"09";"";"";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100061";"RP VILLA VITTORIA";"01348130558";"Strada Santa Maria Maddalena, 15";"055032";"05100";"villavittoria@gmail.com";"www.casadiriposo-villavittoria.com";"0744";"283052";"0744";"283052";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"1988";"11";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100063";"VILLA SABRINA";"01238360554";"Strada Pareti 34";"055024";"05030";"t.sabrina@libero.it";"www.villasabrina.com";"0744";"709073";"0744";"709073";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100064";"Villa Rosalba Residenza Protetta";"01242370557";"Via della Piaggia, 6";"055017";"05026";"info@villarosalba.it";"www.villarosalba.it";"0744";"940753";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2011";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100065";"RP VILLA MARIA SANITER";"07790131002";"Via della Sponga, 25";"055032";"05100";"sanitersrl@gmail.com";"www.casediripososaniter.it";"0744";"274858";"0744";"274858";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2007";"04";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100067";"RP VILLA FLAMINIA";"01263520551";"Via Narni, 145";"055032";"05100";"villafla@villaflaminia.191.it";"";"0744";"817172";"0744";"817172";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2002";"08";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100068";"Villa Canali Residenza Protetta";"00682980552";"Via della Portella, 21 Quadrelli";"055017";"05026";"serviziterzaeta@virgilio.it";"www.villacanali.it";"0744";"940977";"0744";"947058";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2011";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100069";"VILLA ANNA";"00651830556";"Via Orvieto, 2";"055004";"05022";"";"";"0744";"978136";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100070";"RP VALLE SERENA";"00763720554";"VIA PIEMONTE";"055032";"05100";"valleserenasrl@gmail.com";"";"0744";"422449";"0744";"422449";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"02";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100072";"SAN GIOVANNI BOSCO";"01063901001";"Via San Giovanni Bosco, 11 Fraz. Monterubiaglia";"055010";"05014";"sangiovannibosco@smr.it";"http://www.servedimariariparatrici.it/smr/";"0763";"626269";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100073";"NON TI SCORDAR DI ME";"01475960553";"Contrada Capannelle, 22";"055009";"05013";"benellavera@libero.it";"www.benella.it";"0763";"627747";"0763";"627747";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100074";"RP GRANDE ALBERGO AMERINO";"00761890557";"Piazza S. Francesco, 5";"055001";"05021";"info@grandealbergoamerino.it";"www.grandealbergoamerino.it";"0744";"943566";"0744";"943525";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100076";"CASA NATIVITA' DI MARIA";"00617830559";"Frazione Morrano, 66/B";"055023";"05018";"casanativita@effatah.it";"www.casanativita.effatah.it";"0763";"215746";"0763";"215746";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100077";"CASA DI RIPOSO SAN GIORGIO";"00474900552";"Località San Giorgio, 10";"055023";"05018";"info@coopquadrifoglio.net";"www.coopquadrifoglio.net";"0763";"301812";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100078";"CASA DELLA DIVINA PROVVIDENZA";"00405010554";"Zona Cappuccini, 9";"055013";"05016";"info@casadivinaprovvidenza.org";"www.casadivinaprovvidenza.org";"0763";"837768";"0763";"86214";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"4";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100079";"BD SERVICE GbR";"00753970557";"Strada San Filippo, 5";"055022";"05035";"bd.service2009@alice.it";"www.casaveratr.it";"0744";"737458";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"03";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"100080";"RP ANIMAZIONE SOGGIORNO TERZA ETA'";"00493570550";"Via Del Salice, 6/A";"055032";"05100";"asteterni@gmail.com";"www.casadiriposoaste.com";"0744";"300842";"0744";"308509";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2000";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"110601";"Residenza Villa Serena srl";"01555580552";"Via Silvio Pellico, 1";"055004";"05022";"villaserena1@virgilio.it";"";"0744";"980366";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2015";"08";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"120901";"Residenza Protetta Nuova Villa Maria Luisa";"01531800553";"Via dei Pressio Collonnese, 74";"055032";"05100";"amministrazione@nuovavillamarialuisa.com";"www.nuovavillamarialuisa.com";"0744";"404569";"0744";"284416";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2014";"07";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"122601";"RP Collerolletta - SALUS UMBRIA TERNI S.R.L.";"01586940551";"Strada di Collerolletta, 24";"055032";"05100";"carla.frasconi@salusumbriaterni.it";"www.salusumbriaterni.it";"0744";"413283";"";"";"STRUTTURA RESIDENZIALE";"";"";"";"12";"2";"2";"N";"2017";"04";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"2020";"100";"202";"122900";"RSA Le Grazie";"01499590550";"Viale Trento, 21";"055032";"05100";"marina.marinelli@uslumbria2.it";"www.uslumbria2.it";"0744";"204755";"0744";"204784";"STRUTTURA RESIDENZIALE";"";"";"";"12";"1";"";"N";"2006";"01";"0000";"00";"ASSISTENZA AGLI ANZIANI"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
